Run,Seed,Method,Latency,Energy,Throughput,Consensus_Time,Resource_Utilization,Security_Detection_Rate,Malicious_Total,Malicious_Detected,Malicious_Accepted,Legitimate_Accepted,Successful_Transactions,Blocks,Blockchain_Integrity
1,42,Baseline,0.16062095962291434,0.6233903932458621,4.980670031346714,0.06884274931326262,50.0,1.0,2,2,0,12,12,3,True
1,42,PSO,0.10827771257385604,0.42833330105298806,8.004109489065119,0.0573306039494083,70.00132268214999,1.0,2,2,0,13,13,7,True
1,42,WOA,0.12581742508703672,0.49133886708809366,6.8882880576131065,0.061330603949408306,69.99999999999999,1.0,2,2,0,13,13,5,True
2,123,Baseline,0.14965853677939417,0.5891220005604386,4.900043453012717,0.0678480500861731,50.0,1.0,2,2,0,11,11,3,True
2,123,PSO,0.10236088609744944,0.4070546788502252,8.466775735426754,0.056439253596005774,70.00372763116933,1.0,2,2,0,13,13,7,True
2,123,WOA,0.10635979446246205,0.4208934045185295,8.148442473462493,0.056439253596005774,70.0,1.0,2,2,0,13,13,7,True
3,456,Baseline,0.15472403813590638,0.6049631352232275,4.308746557410042,0.0705291703791997,50.0,1.0,0,0,0,10,10,2,True
3,456,PSO,0.10655631409199422,0.42098048710486824,9.38470900125788,0.05939420802209906,70.0009028646451,1.0,0,0,0,15,15,8,True
3,456,WOA,0.11918344950168715,0.47766280179675624,8.390426726035011,0.05939420802209906,70.0,1.0,0,0,0,15,15,8,True
4,789,Baseline,0.16581446887977838,0.6575478970403189,3.2164462904622617,0.07031467961163652,50.0,1.0,1,1,0,8,8,2,True
4,789,PSO,0.11345989003558193,0.4515423440248846,8.226108213577788,0.05953187066696429,70.00021460668117,1.0,1,1,0,14,14,7,True
4,789,WOA,0.12598066109990333,0.4961671220520703,7.408544495517411,0.05953187066696429,69.99999999999999,1.0,1,1,0,14,14,7,True
5,1024,Baseline,0.1653944523451017,0.6481250404042698,3.627691204225385,0.0692829650589163,50.0,1.0,2,2,0,9,9,2,True
5,1024,PSO,0.11163009879894913,0.4455339752145038,7.763736447349856,0.05783419438329537,70.00002388432003,1.0,2,2,0,13,13,7,True
5,1024,WOA,0.13077324141287128,0.5152518937772487,6.627247725170828,0.06183419438329538,70.0,1.0,2,2,0,13,13,5,True
